Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
329,-4.798657718120805,8,-4.798657718120805,0,0.18,0
330,-4.798657718120805,8,-4.798657718120805,0,0.18,0
331,-4.798657718120805,8,-4.798657718120805,0,0.18,0
332,-4.798657718120805,8,-4.798657718120805,0,0.18,0
333,-4.798657718120805,8,-4.798657718120805,0,0.18,0
334,-4.798657718120805,8,-4.798657718120805,0,0.18,0
335,-4.798657718120805,8,-4.798657718120805,0,0.18,0
336,-4.798657718120805,8,-4.798657718120805,0,0.18,0
337,-4.798657718120805,8,-4.798657718120805,0,0.18,0
338,-4.798657718120805,8,-4.798657718120805,0,0.18,0
339,-4.798657718120805,8,-4.798657718120805,0,0.18,0
340,-4.798657718120805,8,-4.798657718120805,0,0.18,0
341,-4.798657718120805,8,-4.798657718120805,0,0.18,0
342,-4.798657718120805,8,-4.798657718120805,0,0.18,0
343,-4.798657718120805,8,-4.798657718120805,0,0.18,0
344,-4.798657718120805,8,-4.798657718120805,0,0.18,0
345,-4.798657718120805,8,-4.798657718120805,0,0.18,0
346,-4.798657718120805,8,-4.798657718120805,0,0.18,0
347,-4.798657718120805,8,-4.798657718120805,0,0.18,0
348,-4.798657718120805,8,-4.798657718120805,0,0.18,0
349,-4.798657718120805,8,-4.798657718120805,0,0.18,0
350,-4.798657718120805,8,-4.798657718120805,0,0.18,0
351,-4.798657718120805,8,-4.798657718120805,0,0.18,0
352,-4.798657718120805,8,-4.798657718120805,0,0.18,0
353,-4.798657718120805,8,-4.798657718120805,0,0.18,0
354,-4.798657718120805,8,-4.798657718120805,0,0.18,0
355,-4.798657718120805,8,-4.798657718120805,0,0.18,0
356,-4.798657718120805,8,-4.798657718120805,0,0.18,0
357,-4.798657718120805,8,-4.798657718120805,0,0.18,0
358,-4.798657718120805,8,-4.798657718120805,0,0.18,0
359,-4.798657718120805,8,-4.798657718120805,0,0.18,0
360,-4.798657718120805,8,-4.798657718120805,0,0.18,0
361,-4.798657718120805,8,-4.798657718120805,0,0.18,0
362,-4.798657718120805,8,-4.798657718120805,0,0.18,0
363,-4.798657718120805,8,-4.798657718120805,0,0.18,0
364,-4.798657718120805,8,-4.798657718120805,0,0.18,0
365,-4.798657718120805,8,-4.798657718120805,0,0.18,0
366,-4.798657718120805,8,-4.798657718120805,0,0.18,0
367,-4.798657718120805,8,-4.798657718120805,0,0.18,0
368,-4.798657718120805,8,-4.798657718120805,0,0.18,0
369,-4.798657718120805,8,-4.798657718120805,0,0.18,0
370,-4.798657718120805,8,-4.798657718120805,0,0.18,0
371,-4.798657718120805,8,-4.798657718120805,0,0.18,0
372,-4.798657718120805,8,-4.798657718120805,0,0.18,0
373,-4.798657718120805,8,-4.798657718120805,0,0.18,0
374,-4.798657718120805,8,-4.798657718120805,0,0.18,0
375,-4.798657718120805,8,-4.798657718120805,0,0.18,0
376,-4.798657718120805,8,-4.798657718120805,0,0.18,0
377,-4.798657718120805,8,-4.798657718120805,0,0.18,0
378,-4.798657718120805,8,-4.798657718120805,0,0.18,0
379,-4.798657718120805,8,-4.798657718120805,0,0.18,0
380,-4.798657718120805,8,-4.798657718120805,0,0.18,0
381,-4.798657718120805,8,-4.798657718120805,0,0.18,0
382,-4.798657718120805,8,-4.798657718120805,0,0.18,0
383,-4.798657718120805,8,-4.798657718120805,0,0.18,0
384,-4.798657718120805,8,-4.798657718120805,0,0.18,0
385,-4.798657718120805,8,-4.798657718120805,0,0.18,0
386,-4.798657718120805,8,-4.798657718120805,0,0.18,0
387,-4.798657718120805,8,-4.798657718120805,0,0.18,0
388,-4.798657718120805,8,-4.798657718120805,0,0.18,0
389,-4.798657718120805,8,-4.798657718120805,0,0.18,0
390,-4.798657718120805,8,-4.798657718120805,0,0.18,0
391,-4.798657718120805,8,-4.798657718120805,0,0.18,0
392,-4.798657718120805,8,-4.798657718120805,0,0.18,0
393,-4.798657718120805,8,-4.798657718120805,0,0.18,0
394,-4.798657718120805,8,-4.798657718120805,0,0.18,0
395,-4.798657718120805,8,-4.798657718120805,0,0.18,0
396,-4.798657718120805,8,-4.798657718120805,0,0.18,0
397,-4.798657718120805,8,-4.798657718120805,0,0.18,0
398,-4.798657718120805,8,-4.798657718120805,0,0.18,0
399,-4.798657718120805,8,-4.798657718120805,0,0.18,0
400,-4.798657718120805,8,-4.798657718120805,0,0.18,0
401,-4.731543624161074,8,-4.731543624161074,0,0.18,0
402,-4.731543624161074,8,-4.731543624161074,0,0.18,0
403,-4.731543624161074,8,-4.731543624161074,0,0.18,0
404,-4.731543624161074,8,-4.731543624161074,0,0.18,0
405,-4.731543624161074,8,-4.731543624161074,0,0.18,0
406,-4.731543624161074,8,-4.731543624161074,0,0.18,0
407,-4.731543624161074,8,-4.731543624161074,0,0.18,0
408,-4.731543624161074,8,-4.731543624161074,0,0.18,0
409,-4.731543624161074,8,-4.731543624161074,0,0.18,0
410,-4.731543624161074,8,-4.731543624161074,0,0.18,0
411,-4.731543624161074,8,-4.731543624161074,0,0.18,0
412,-4.731543624161074,8,-4.731543624161074,0,0.18,0
413,-4.731543624161074,8,-4.731543624161074,0,0.18,0
414,-4.731543624161074,8,-4.731543624161074,0,0.18,0
415,-4.731543624161074,8,-4.731543624161074,0,0.18,0
416,-4.731543624161074,8,-4.731543624161074,0,0.18,0
417,-4.731543624161074,8,-4.731543624161074,0,0.18,0
418,-4.731543624161074,8,-4.731543624161074,0,0.18,0
419,-4.731543624161074,8,-4.731543624161074,0,0.18,0
420,-4.731543624161074,8,-4.731543624161074,0,0.18,0
421,-4.731543624161074,8,-4.731543624161074,0,0.18,0
422,-4.731543624161074,8,-4.731543624161074,0,0.18,0
423,-4.731543624161074,8,-4.731543624161074,0,0.18,0
424,-4.731543624161074,8,-4.731543624161074,0,0.18,0
425,-4.731543624161074,8,-4.731543624161074,0,0.18,0
426,-4.731543624161074,8,-4.731543624161074,0,0.18,0
427,-4.731543624161074,8,-4.731543624161074,0,0.18,0
428,-4.731543624161074,8,-4.731543624161074,0,0.18,0
429,-4.731543624161074,8,-4.731543624161074,0,0.18,0
430,-4.731543624161074,8,-4.731543624161074,0,0.18,0
431,-4.731543624161074,8,-4.731543624161074,0,0.18,0
432,-4.731543624161074,8,-4.731543624161074,0,0.18,0
433,-4.731543624161074,8,-4.731543624161074,0,0.18,0
434,-4.731543624161074,8,-4.731543624161074,0,0.18,0
435,-4.731543624161074,8,-4.731543624161074,0,0.18,0
436,-4.731543624161074,8,-4.731543624161074,0,0.18,0
437,-4.731543624161074,8,-4.731543624161074,0,0.18,0
438,-4.731543624161074,8,-4.731543624161074,0,0.18,0
439,-4.731543624161074,8,-4.731543624161074,0,0.18,0
440,-4.731543624161074,8,-4.731543624161074,0,0.18,0
441,-4.731543624161074,8,-4.731543624161074,0,0.18,0
442,-4.731543624161074,8,-4.731543624161074,0,0.18,0
443,-4.731543624161074,8,-4.731543624161074,0,0.18,0
444,-4.731543624161074,8,-4.731543624161074,0,0.18,0
445,-4.731543624161074,8,-4.731543624161074,0,0.18,0
446,-4.731543624161074,8,-4.731543624161074,0,0.18,0
447,-4.731543624161074,8,-4.731543624161074,0,0.18,0
448,-4.731543624161074,8,-4.731543624161074,0,0.18,0
449,-4.731543624161074,8,-4.731543624161074,0,0.18,0
450,-4.731543624161074,8,-4.731543624161074,0,0.18,0
451,-4.731543624161074,8,-4.731543624161074,0,0.18,0
452,-4.731543624161074,8,-4.731543624161074,0,0.18,0
453,-4.731543624161074,8,-4.731543624161074,0,0.18,0
454,-4.731543624161074,8,-4.731543624161074,0,0.18,0
455,-4.731543624161074,8,-4.731543624161074,0,0.18,0
456,-4.731543624161074,8,-4.731543624161074,0,0.18,0
457,-4.731543624161074,8,-4.731543624161074,0,0.18,0
458,-4.731543624161074,8,-4.731543624161074,0,0.18,0
459,-4.731543624161074,8,-4.731543624161074,0,0.18,0
460,-4.731543624161074,8,-4.731543624161074,0,0.18,0
461,-4.731543624161074,8,-4.731543624161074,0,0.18,0
462,-4.731543624161074,8,-4.731543624161074,0,0.18,0
463,-4.731543624161074,8,-4.731543624161074,0,0.18,0
464,-4.731543624161074,8,-4.731543624161074,0,0.18,0
465,-4.731543624161074,8,-4.731543624161074,0,0.18,0
466,-4.731543624161074,8,-4.731543624161074,0,0.18,0
467,-4.731543624161074,8,-4.731543624161074,0,0.18,0
468,-4.731543624161074,8,-4.731543624161074,0,0.18,0
469,-4.731543624161074,8,-4.731543624161074,0,0.18,0
470,-4.731543624161074,8,-4.731543624161074,0,0.18,0
471,-4.731543624161074,8,-4.731543624161074,0,0.18,0
472,-4.731543624161074,8,-4.731543624161074,0,0.18,0
473,-4.731543624161074,8,-4.731543624161074,0,0.18,0
474,-4.731543624161074,8,-4.731543624161074,0,0.18,0
475,-4.731543624161074,8,-4.731543624161074,0,0.18,0
476,-4.731543624161074,8,-4.731543624161074,0,0.18,0
477,-4.731543624161074,8,-4.731543624161074,0,0.18,0
478,-4.731543624161074,8,-4.731543624161074,0,0.18,0
479,-4.731543624161074,8,-4.731543624161074,0,0.18,0
480,-4.731543624161074,8,-4.731543624161074,0,0.18,0
481,-4.731543624161074,8,-4.731543624161074,0,0.18,0
