Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val
294,0,8,0,-4.865771812080537,0.18,-4.865771812080537
295,0,8,0,-4.865771812080537,0.18,-4.865771812080537
296,0,8,0,-4.865771812080537,0.18,-4.865771812080537
297,0,8,0,-4.865771812080537,0.18,-4.865771812080537
298,0,8,0,-4.865771812080537,0.18,-4.865771812080537
299,0,8,0,-4.865771812080537,0.18,-4.865771812080537
300,0,8,0,-4.865771812080537,0.18,-4.865771812080537
301,0,8,0,-4.798657718120805,0.18,-4.798657718120805
302,0,8,0,-4.798657718120805,0.18,-4.798657718120805
303,0,8,0,-4.798657718120805,0.18,-4.798657718120805
304,0,8,0,-4.798657718120805,0.18,-4.798657718120805
305,0,8,0,-4.798657718120805,0.18,-4.798657718120805
306,0,8,0,-4.798657718120805,0.18,-4.798657718120805
307,0,8,0,-4.798657718120805,0.18,-4.798657718120805
308,0,8,0,-4.798657718120805,0.18,-4.798657718120805
309,0,8,0,-4.798657718120805,0.18,-4.798657718120805
310,0,8,0,-4.798657718120805,0.18,-4.798657718120805
311,0,8,0,-4.798657718120805,0.18,-4.798657718120805
312,0,8,0,-4.798657718120805,0.18,-4.798657718120805
313,0,8,0,-4.798657718120805,0.18,-4.798657718120805
314,0,8,0,-4.798657718120805,0.18,-4.798657718120805
315,0,8,0,-4.798657718120805,0.18,-4.798657718120805
316,0,8,0,-4.798657718120805,0.18,-4.798657718120805
317,0,8,0,-4.798657718120805,0.18,-4.798657718120805
318,0,8,0,-4.798657718120805,0.18,-4.798657718120805
319,0,8,0,-4.798657718120805,0.18,-4.798657718120805
320,0,8,0,-4.798657718120805,0.18,-4.798657718120805
321,0,8,0,-4.798657718120805,0.18,-4.798657718120805
322,0,8,0,-4.798657718120805,0.18,-4.798657718120805
323,0,8,0,-4.798657718120805,0.18,-4.798657718120805
324,0,8,0,-4.798657718120805,0.18,-4.798657718120805
325,0,8,0,-4.798657718120805,0.18,-4.798657718120805
326,0,8,0,-4.798657718120805,0.18,-4.798657718120805
327,0,8,0,-4.798657718120805,0.18,-4.798657718120805
328,0,8,0,-4.798657718120805,0.18,-4.798657718120805
329,0,8,0,-4.798657718120805,0.18,-4.798657718120805
330,0,8,0,-4.798657718120805,0.18,-4.798657718120805
331,0,8,0,-4.798657718120805,0.18,-4.798657718120805
332,0,8,0,-4.798657718120805,0.18,-4.798657718120805
333,0,8,0,-4.798657718120805,0.18,-4.798657718120805
334,0,8,0,-4.798657718120805,0.18,-4.798657718120805
335,0,8,0,-4.798657718120805,0.18,-4.798657718120805
336,0,8,0,-4.798657718120805,0.18,-4.798657718120805
337,0,8,0,-4.798657718120805,0.18,-4.798657718120805
338,0,8,0,-4.798657718120805,0.18,-4.798657718120805
339,0,8,0,-4.798657718120805,0.18,-4.798657718120805
340,0,8,0,-4.798657718120805,0.18,-4.798657718120805
341,0,8,0,-4.798657718120805,0.18,-4.798657718120805
342,0,8,0,-4.798657718120805,0.18,-4.798657718120805
343,0,8,0,-4.798657718120805,0.18,-4.798657718120805
344,0,8,0,-4.798657718120805,0.18,-4.798657718120805
345,0,8,0,-4.798657718120805,0.18,-4.798657718120805
346,0,8,0,-4.798657718120805,0.18,-4.798657718120805
347,0,8,0,-4.798657718120805,0.18,-4.798657718120805
348,0,8,0,-4.798657718120805,0.18,-4.798657718120805
349,0,8,0,-4.798657718120805,0.18,-4.798657718120805
350,0,8,0,-4.798657718120805,0.18,-4.798657718120805
351,0,8,0,-4.798657718120805,0.18,-4.798657718120805
352,0,8,0,-4.798657718120805,0.18,-4.798657718120805
353,0,8,0,-4.798657718120805,0.18,-4.798657718120805
354,0,8,0,-4.798657718120805,0.18,-4.798657718120805
355,0,8,0,-4.798657718120805,0.18,-4.798657718120805
