Trial,S1_A_val,S1_A_std,S1_B_val,S2_A_val,S2_A_std,S2_B_val,Decision (S1>S2)
241,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
242,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
243,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
244,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
245,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
246,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
247,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
248,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
249,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
250,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
251,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
252,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
253,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
254,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
255,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
256,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
257,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
258,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
259,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
260,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
261,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
262,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
263,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
264,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
265,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
266,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
267,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
268,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
269,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
270,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
271,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
272,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
273,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
274,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
275,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
276,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
277,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
278,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
279,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
280,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
281,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
282,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
283,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
284,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
285,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
286,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
287,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
288,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
289,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
290,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
291,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
292,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
293,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
294,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
295,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
296,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
297,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
298,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
299,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
300,-10,0.18,10,-4.865771812080537,0,-4.865771812080537,1
301,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
302,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
303,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
304,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
305,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
306,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
307,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
308,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
309,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
310,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
311,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
312,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
313,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
314,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
315,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
316,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
317,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
318,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
319,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
320,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
321,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
322,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
323,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
324,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
325,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
326,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
327,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
328,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
329,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
330,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
331,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
332,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
333,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
334,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
335,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
336,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
337,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
338,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
339,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
340,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
341,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
342,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
343,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
344,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
345,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
346,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
347,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
348,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
349,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
350,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
351,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
352,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
353,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
354,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
355,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
356,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
357,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
358,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
359,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
360,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
361,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
362,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
363,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
364,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
365,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
366,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
367,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
368,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
369,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
370,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
371,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
372,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
373,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
374,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
375,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
376,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
377,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
378,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
379,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
380,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
381,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
382,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
383,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
384,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
385,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
386,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
387,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
388,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
389,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
390,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
391,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
392,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
393,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
394,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
395,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
396,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
397,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
398,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
399,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
400,-10,0.18,10,-4.798657718120805,0,-4.798657718120805,1
401,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
402,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
403,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
404,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
405,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
406,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
407,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
408,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
409,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
410,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
411,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
412,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
413,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
414,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
415,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
416,-10,0.18,10,-4.731543624161074,0,-4.731543624161074,1
